id,variant_id,warehouse_id,on_hand,reserved,updated_at
13,13,1,45,0,2026-02-17 16:04:52.480606
14,14,1,46,0,2026-02-17 16:04:52.480606
15,15,1,47,0,2026-02-17 16:04:52.480606
16,16,1,48,0,2026-02-17 16:04:52.480606
17,17,1,49,0,2026-02-17 16:04:52.480606
18,18,1,50,0,2026-02-17 16:04:52.480606
19,19,1,51,0,2026-02-17 16:04:52.480606
20,20,1,52,0,2026-02-17 16:04:52.480606
21,21,1,59,0,2026-02-17 16:04:52.480606
22,22,1,58,0,2026-02-17 16:04:52.480606
23,23,1,57,0,2026-02-17 16:04:52.480606
24,24,1,56,0,2026-02-17 16:04:52.480606
25,25,1,55,0,2026-02-17 16:04:52.480606
26,26,1,54,0,2026-02-17 16:04:52.480606
27,27,1,128,0,2026-02-17 16:04:52.480606
28,28,1,127,0,2026-02-17 16:04:52.480606
29,29,1,126,0,2026-02-17 16:04:52.480606
30,30,1,125,0,2026-02-17 16:04:52.480606
31,31,1,124,0,2026-02-17 16:04:52.480606
32,32,1,123,0,2026-02-17 16:04:52.480606
33,33,1,138,0,2026-02-17 16:04:52.480606
34,34,1,137,0,2026-02-17 16:04:52.480606
35,35,1,136,0,2026-02-17 16:04:52.480606
36,36,1,76,0,2026-02-17 16:04:52.480606
37,37,1,75,0,2026-02-17 16:04:52.480606
38,38,1,74,0,2026-02-17 16:04:52.480606
39,39,1,73,0,2026-02-17 16:04:52.480606
40,40,1,72,0,2026-02-17 16:04:52.480606
41,41,1,71,0,2026-02-17 16:04:52.480606
42,42,1,70,0,2026-02-17 16:04:52.480606
43,43,1,69,0,2026-02-17 16:04:52.480606
44,44,1,130,0,2026-02-17 16:04:52.480606
45,45,1,131,0,2026-02-17 16:04:52.480606
46,46,1,132,0,2026-02-17 16:04:52.480606
47,47,1,133,0,2026-02-17 16:04:52.480606
48,48,1,134,0,2026-02-17 16:04:52.480606
49,49,1,135,0,2026-02-17 16:04:52.480606
50,50,1,48,0,2026-02-17 16:04:52.480606
51,51,1,49,0,2026-02-17 16:04:52.480606
52,52,1,50,0,2026-02-17 16:04:52.480606
53,53,1,51,0,2026-02-17 16:04:52.480606
54,54,1,52,0,2026-02-17 16:04:52.480606
55,55,1,53,0,2026-02-17 16:04:52.480606
56,56,1,54,0,2026-02-17 16:04:52.480606
57,57,1,55,0,2026-02-17 16:04:52.480606
58,58,1,52,0,2026-02-17 16:04:52.480606
59,59,1,51,0,2026-02-17 16:04:52.480606
60,60,1,50,0,2026-02-17 16:04:52.480606
61,61,1,49,0,2026-02-17 16:04:52.480606
62,62,1,161,0,2026-02-17 16:04:52.480606
63,63,1,160,0,2026-02-17 16:04:52.480606
64,64,1,159,0,2026-02-17 16:04:52.480606
65,65,1,158,0,2026-02-17 16:04:52.480606
66,66,1,157,0,2026-02-17 16:04:52.480606
67,67,1,156,0,2026-02-17 16:04:52.480606
68,68,1,155,0,2026-02-17 16:04:52.480606
69,69,1,154,0,2026-02-17 16:04:52.480606
70,70,1,153,0,2026-02-17 16:04:52.480606
71,71,1,152,0,2026-02-17 16:04:52.480606
72,72,1,33,0,2026-02-17 16:04:52.480606
73,73,1,32,0,2026-02-17 16:04:52.480606
74,74,1,31,0,2026-02-17 16:04:52.480606
75,75,1,30,0,2026-02-17 16:04:52.480606
76,76,1,29,0,2026-02-17 16:04:52.480606
77,77,1,28,0,2026-02-17 16:04:52.480606
78,78,1,27,0,2026-02-17 16:04:52.480606
79,79,1,26,0,2026-02-17 16:04:52.480606
80,80,1,161,0,2026-02-17 16:04:52.480606
81,81,1,162,0,2026-02-17 16:04:52.480606
82,82,1,163,0,2026-02-17 16:04:52.480606
83,83,1,164,0,2026-02-17 16:04:52.480606
84,84,1,165,0,2026-02-17 16:04:52.480606
85,85,1,166,0,2026-02-17 16:04:52.480606
86,86,1,34,0,2026-02-17 16:04:52.480606
87,87,1,33,0,2026-02-17 16:04:52.480606
88,88,1,32,0,2026-02-17 16:04:52.480606
89,89,1,31,0,2026-02-17 16:04:52.480606
90,90,1,103,0,2026-02-17 16:04:52.480606
91,91,1,104,0,2026-02-17 16:04:52.480606
92,92,1,105,0,2026-02-17 16:04:52.480606
93,93,1,28,0,2026-02-17 16:04:52.480606
94,94,1,29,0,2026-02-17 16:04:52.480606
95,95,1,30,0,2026-02-17 16:04:52.480606
96,96,1,165,0,2026-02-17 16:04:52.480606
97,97,1,166,0,2026-02-17 16:04:52.480606
98,98,1,167,0,2026-02-17 16:04:52.480606
99,99,1,67,0,2026-02-17 16:04:52.480606
100,100,1,68,0,2026-02-17 16:04:52.480606
101,101,1,69,0,2026-02-17 16:04:52.480606
102,102,1,70,0,2026-02-17 16:04:52.480606
103,103,1,71,0,2026-02-17 16:04:52.480606
104,104,1,72,0,2026-02-17 16:04:52.480606
105,105,1,73,0,2026-02-17 16:04:52.480606
106,106,1,74,0,2026-02-17 16:04:52.480606
107,107,1,55,0,2026-02-17 16:04:52.480606
108,108,1,56,0,2026-02-17 16:04:52.480606
109,109,1,57,0,2026-02-17 16:04:52.480606
110,110,1,58,0,2026-02-17 16:04:52.480606
111,111,1,59,0,2026-02-17 16:04:52.480606
112,112,1,60,0,2026-02-17 16:04:52.480606
113,113,1,61,0,2026-02-17 16:04:52.480606
114,114,1,62,0,2026-02-17 16:04:52.480606
115,115,1,45,0,2026-02-17 16:04:52.480606
116,116,1,46,0,2026-02-17 16:04:52.480606
117,117,1,47,0,2026-02-17 16:04:52.480606
118,118,1,48,0,2026-02-17 16:04:52.480606
119,119,1,49,0,2026-02-17 16:04:52.480606
120,120,1,50,0,2026-02-17 16:04:52.480606
121,121,1,30,0,2026-02-17 16:04:52.480606
122,122,1,29,0,2026-02-17 16:04:52.480606
123,123,1,28,0,2026-02-17 16:04:52.480606
124,124,1,150,0,2026-02-17 16:04:52.480606
125,125,1,151,0,2026-02-17 16:04:52.480606
126,126,1,152,0,2026-02-17 16:04:52.480606
127,127,1,55,0,2026-02-17 16:04:52.480606
128,128,1,54,0,2026-02-17 16:04:52.480606
129,129,1,53,0,2026-02-17 16:04:52.480606
130,130,1,122,0,2026-02-17 16:04:52.480606
131,131,1,121,0,2026-02-17 16:04:52.480606
132,132,1,120,0,2026-02-17 16:04:52.480606
133,133,1,47,0,2026-02-17 16:04:52.480606
134,134,1,48,0,2026-02-17 16:04:52.480606
135,135,1,49,0,2026-02-17 16:04:52.480606
136,136,1,81,0,2026-02-17 16:04:52.480606
137,137,1,82,0,2026-02-17 16:04:52.480606
138,138,1,83,0,2026-02-17 16:04:52.480606
139,139,1,105,0,2026-02-17 16:04:52.480606
140,140,1,104,0,2026-02-17 16:04:52.480606
141,141,1,103,0,2026-02-17 16:04:52.480606
142,142,1,102,0,2026-02-17 16:04:52.480606
143,143,1,101,0,2026-02-17 16:04:52.480606
144,144,1,100,0,2026-02-17 16:04:52.480606
145,145,1,99,0,2026-02-17 16:04:52.480606
146,146,1,98,0,2026-02-17 16:04:52.480606
147,147,1,48,0,2026-02-17 16:04:52.480606
148,148,1,47,0,2026-02-17 16:04:52.480606
149,149,1,46,0,2026-02-17 16:04:52.480606
150,150,1,45,0,2026-02-17 16:04:52.480606
151,151,1,44,0,2026-02-17 16:04:52.480606
152,152,1,43,0,2026-02-17 16:04:52.480606
153,153,1,42,0,2026-02-17 16:04:52.480606
154,154,1,41,0,2026-02-17 16:04:52.480606
155,155,1,104,0,2026-02-17 16:04:52.480606
156,156,1,105,0,2026-02-17 16:04:52.480606
157,157,1,106,0,2026-02-17 16:04:52.480606
158,158,1,107,0,2026-02-17 16:04:52.480606
159,159,1,108,0,2026-02-17 16:04:52.480606
160,160,1,109,0,2026-02-17 16:04:52.480606
161,161,1,103,0,2026-02-17 16:04:52.480606
162,162,1,102,0,2026-02-17 16:04:52.480606
163,163,1,101,0,2026-02-17 16:04:52.480606
164,164,1,90,0,2026-02-17 16:04:52.480606
165,165,1,89,0,2026-02-17 16:04:52.480606
166,166,1,88,0,2026-02-17 16:04:52.480606
167,167,1,155,0,2026-02-17 16:04:52.480606
168,168,1,156,0,2026-02-17 16:04:52.480606
169,169,1,157,0,2026-02-17 16:04:52.480606
170,170,1,158,0,2026-02-17 16:04:52.480606
171,171,1,112,0,2026-02-17 16:04:52.480606
172,172,1,113,0,2026-02-17 16:04:52.480606
173,173,1,114,0,2026-02-17 16:04:52.480606
174,174,1,169,0,2026-02-17 16:04:52.480606
175,175,1,10,0,2026-02-17 16:04:52.480606
176,176,1,11,0,2026-02-17 16:04:52.480606
177,177,1,12,0,2026-02-17 16:04:52.480606
178,178,1,25,0,2026-02-17 16:04:52.480606
179,179,1,24,0,2026-02-17 16:04:52.480606
180,180,1,23,0,2026-02-17 16:04:52.480606
181,181,1,110,0,2026-02-17 16:04:52.480606
182,182,1,111,0,2026-02-17 16:04:52.480606
183,183,1,112,0,2026-02-17 16:04:52.480606
184,184,1,113,0,2026-02-17 16:04:52.480606
185,185,1,114,0,2026-02-17 16:04:52.480606
186,186,1,115,0,2026-02-17 16:04:52.480606
187,187,1,116,0,2026-02-17 16:04:52.480606
188,188,1,117,0,2026-02-17 16:04:52.480606
189,189,1,129,0,2026-02-17 16:04:52.480606
190,190,1,130,0,2026-02-17 16:04:52.480606
191,191,1,131,0,2026-02-17 16:04:52.480606
192,192,1,132,0,2026-02-17 16:04:52.480606
193,193,1,95,0,2026-02-17 16:04:52.480606
194,194,1,96,0,2026-02-17 16:04:52.480606
195,195,1,97,0,2026-02-17 16:04:52.480606
196,196,1,98,0,2026-02-17 16:04:52.480606
197,197,1,159,0,2026-02-17 16:04:52.480606
198,198,1,160,0,2026-02-17 16:04:52.480606
199,199,1,161,0,2026-02-17 16:04:52.480606
200,200,1,162,0,2026-02-17 16:04:52.480606
201,201,1,76,0,2026-02-17 16:04:52.480606
202,202,1,75,0,2026-02-17 16:04:52.480606
203,203,1,74,0,2026-02-17 16:04:52.480606
204,204,1,129,0,2026-02-17 16:04:52.480606
205,205,1,130,0,2026-02-17 16:04:52.480606
206,206,1,131,0,2026-02-17 16:04:52.480606
207,207,1,132,0,2026-02-17 16:04:52.480606
208,208,1,133,0,2026-02-17 16:04:52.480606
209,209,1,134,0,2026-02-17 16:04:52.480606
210,210,1,135,0,2026-02-17 16:04:52.480606
211,211,1,136,0,2026-02-17 16:04:52.480606
212,212,1,31,0,2026-02-17 16:04:52.480606
213,213,1,32,0,2026-02-17 16:04:52.480606
214,214,1,33,0,2026-02-17 16:04:52.480606
215,215,1,34,0,2026-02-17 16:04:52.480606
216,216,1,84,0,2026-02-17 16:04:52.480606
217,217,1,85,0,2026-02-17 16:04:52.480606
218,218,1,86,0,2026-02-17 16:04:52.480606
219,219,1,87,0,2026-02-17 16:04:52.480606
220,220,1,69,0,2026-02-17 16:04:52.480606
221,221,1,70,0,2026-02-17 16:04:52.480606
222,222,1,71,0,2026-02-17 16:04:52.480606
223,223,1,83,0,2026-02-17 16:04:52.480606
224,224,1,84,0,2026-02-17 16:04:52.480606
225,225,1,85,0,2026-02-17 16:04:52.480606
226,226,1,57,0,2026-02-17 16:04:52.480606
227,227,1,58,0,2026-02-17 16:04:52.480606
228,228,1,59,0,2026-02-17 16:04:52.480606
229,229,1,60,0,2026-02-17 16:04:52.480606
230,230,1,88,0,2026-02-17 16:04:52.480606
231,231,1,89,0,2026-02-17 16:04:52.480606
232,232,1,90,0,2026-02-17 16:04:52.480606
233,233,1,91,0,2026-02-17 16:04:52.480606
234,234,1,115,0,2026-02-17 16:04:52.480606
235,235,1,114,0,2026-02-17 16:04:52.480606
236,236,1,113,0,2026-02-17 16:04:52.480606
237,237,1,112,0,2026-02-17 16:04:52.480606
238,238,1,81,0,2026-02-17 16:04:52.480606
239,239,1,80,0,2026-02-17 16:04:52.480606
240,240,1,79,0,2026-02-17 16:04:52.480606
241,241,1,78,0,2026-02-17 16:04:52.480606
