id,slug,localized_name,parent_id,icon,path,depth,sort_order,is_active,created_at,updated_at
1,party-gift-and-seasonal,"{""en"":""Party Gift And Seasonal"",""ar"":""هدايا الحفلات والموسمية""}",,,/1/,0,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
2,accessories,"{""en"":""Accessories"",""ar"":""إكسسوارات""}",1,,/1/2/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
3,keychains,"{""en"":""Keychains"",""ar"":""علاقات مفاتيح""}",2,,/1/2/3/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
4,watches,"{""en"":""Watches"",""ar"":""ساعات""}",2,,/1/2/4/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
5,badges,"{""en"":""Badges"",""ar"":""شارات""}",2,,/1/2/5/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
6,frames,"{""en"":""Frames"",""ar"":""إطارات""}",2,,/1/2/6/,2,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
7,party-supplies,"{""en"":""Party Supplies"",""ar"":""مستلزمات الحفلات""}",1,,/1/7/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
8,balloons,"{""en"":""Balloons"",""ar"":""بالونات""}",7,,/1/7/8/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
9,posters,"{""en"":""Posters"",""ar"":""ملصقات""}",7,,/1/7/9/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
10,seasonal-collections,"{""en"":""Seasonal Collections"",""ar"":""مجموعات موسمية""}",1,,/1/10/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
11,ramadan-lanterns,"{""en"":""Ramadan Lanterns"",""ar"":""فوانيس رمضان""}",10,,/1/10/11/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
12,stationery-gifts,"{""en"":""Stationery Gifts"",""ar"":""هدايا قرطاسية""}",1,,/1/12/,1,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
13,certificates,"{""en"":""Certificates"",""ar"":""شهادات""}",12,,/1/12/13/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
14,school-essentials,"{""en"":""School Essentials"",""ar"":""أساسيات المدرسة""}",,,/14/,0,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
15,lunchboxes-and-water-bottles,"{""en"":""Lunchboxes And Water Bottles"",""ar"":""صناديق الغداء ومطارات الماء""}",14,,/14/15/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
16,water-bottles,"{""en"":""Water Bottles"",""ar"":""مطارات ماء""}",15,,/14/15/16/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
17,lunchboxes,"{""en"":""Lunchboxes"",""ar"":""صناديق غداء""}",15,,/14/15/17/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
18,geometry-tools,"{""en"":""Geometry Tools"",""ar"":""أدوات هندسية""}",14,,/14/18/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
19,rulers,"{""en"":""Rulers"",""ar"":""مساطر""}",18,,/14/18/19/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
20,math-sets,"{""en"":""Math Sets"",""ar"":""أطقم رياضيات""}",18,,/14/18/20/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
21,set-squares,"{""en"":""Set Squares"",""ar"":""مثلتات هندسية""}",18,,/14/18/21/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
22,compasses,"{""en"":""Compasses"",""ar"":""فرجارات""}",18,,/14/18/22/,2,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
23,protractors,"{""en"":""Protractors"",""ar"":""منقلات""}",18,,/14/18/23/,2,4,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
24,writing-instruments,"{""en"":""Writing Instruments"",""ar"":""أدوات كتابة""}",,,/24/,0,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
25,writing-accessories,"{""en"":""Writing Accessories"",""ar"":""إكسسوارات كتابة""}",24,,/24/25/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
26,erasers,"{""en"":""Erasers"",""ar"":""ممحاة""}",25,,/24/25/26/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
27,sharpeners,"{""en"":""Sharpeners"",""ar"":""مبراة""}",25,,/24/25/27/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
28,highlighters-and-markers,"{""en"":""Highlighters And Markers"",""ar"":""أقلام تحديد وتظليل""}",24,,/24/28/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
29,whiteboard-markers,"{""en"":""Whiteboard Markers"",""ar"":""أقلام سبورة""}",28,,/24/28/29/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
30,permanent-markers,"{""en"":""Permanent Markers"",""ar"":""أقلام دائمة""}",28,,/24/28/30/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
31,highlighters,"{""en"":""Highlighters"",""ar"":""أقلام تظليل""}",28,,/24/28/31/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
32,pens,"{""en"":""Pens"",""ar"":""أقلام""}",24,,/24/32/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
