id,code,name,created_at,updated_at
1,admin.portal,Admin Portal Access,2026-02-19 10:00:00,2026-02-19 10:00:00
2,admin.dashboard.read,Read Dashboard,2026-02-19 10:00:00,2026-02-19 10:00:00
3,admin.auditlog.read,Read Audit Log,2026-02-19 10:00:00,2026-02-19 10:00:00
4,admin.categories.read,Read Categories,2026-02-19 10:00:00,2026-02-19 10:00:00
5,admin.categories.write,Write Categories,2026-02-19 10:00:00,2026-02-19 10:00:00
6,admin.brands.read,Read Brands,2026-02-19 10:00:00,2026-02-19 10:00:00
7,admin.brands.write,Write Brands,2026-02-19 10:00:00,2026-02-19 10:00:00
8,admin.products.read,Read Products,2026-02-19 10:00:00,2026-02-19 10:00:00
9,admin.products.write,Write Products,2026-02-19 10:00:00,2026-02-19 10:00:00
10,admin.orders.read,Read Orders,2026-02-19 10:00:00,2026-02-19 10:00:00
11,admin.orders.write,Write Orders,2026-02-19 10:00:00,2026-02-19 10:00:00
12,admin.inventory.read,Read Inventory,2026-02-19 10:00:00,2026-02-19 10:00:00
13,admin.inventory.write,Write Inventory,2026-02-19 10:00:00,2026-02-19 10:00:00
14,admin.media.read,Read Media,2026-02-19 10:00:00,2026-02-19 10:00:00
15,admin.media.write,Write Media,2026-02-19 10:00:00,2026-02-19 10:00:00
16,admin.users.read,Read Admin Users,2026-02-19 10:00:00,2026-02-19 10:00:00
17,admin.users.write,Write Admin Users,2026-02-19 10:00:00,2026-02-19 10:00:00
18,admin.roles.read,Read Roles,2026-02-19 10:00:00,2026-02-19 10:00:00
19,admin.roles.write,Write Roles,2026-02-19 10:00:00,2026-02-19 10:00:00
20,admin.schoollists.read,Read School Lists,2026-02-19 10:00:00,2026-02-19 10:00:00
21,admin.schoollists.write,Write School Lists,2026-02-19 10:00:00,2026-02-19 10:00:00
22,admin.discountrules.read,Read Discount Rules,2026-02-19 10:00:00,2026-02-19 10:00:00
23,admin.discountrules.write,Write Discount Rules,2026-02-19 10:00:00,2026-02-19 10:00:00
