id,slug,name,logo_url,is_active,created_at,updated_at
1,faber-castell,Faber-Castell,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
2,staedtler,Staedtler,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
3,maped,Maped,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
4,stabilo,Stabilo,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
5,deli,Deli,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
6,casio,Casio,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
7,m-g,M&G,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
8,pilot,Pilot,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
9,bic,Bic,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
10,dong-a,Dong-A,,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
