id,slug,parent_id,icon,path,depth,sort_order,is_active,created_at,updated_at
1,party-gift-and-seasonal,,,/1/,0,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
2,accessories,1,,/1/2/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
3,keychains,2,,/1/2/3/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
4,watches,2,,/1/2/4/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
5,badges,2,,/1/2/5/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
6,frames,2,,/1/2/6/,2,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
7,party-supplies,1,,/1/7/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
8,balloons,7,,/1/7/8/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
9,posters,7,,/1/7/9/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
10,seasonal-collections,1,,/1/10/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
11,ramadan-lanterns,10,,/1/10/11/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
12,stationery-gifts,1,,/1/12/,1,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
13,certificates,12,,/1/12/13/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
14,school-essentials,,,/14/,0,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
15,lunchboxes-and-water-bottles,14,,/14/15/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
16,water-bottles,15,,/14/15/16/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
17,lunchboxes,15,,/14/15/17/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
18,geometry-tools,14,,/14/18/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
19,rulers,18,,/14/18/19/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
20,math-sets,18,,/14/18/20/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
21,set-squares,18,,/14/18/21/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
22,compasses,18,,/14/18/22/,2,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
23,protractors,18,,/14/18/23/,2,4,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
24,writing-instruments,,,/24/,0,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
25,writing-accessories,24,,/24/25/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
26,erasers,25,,/24/25/26/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
