category_id,language,name,description,created_at,updated_at
1,en,"Party, Gift & Seasonal","Browse Party, Gift & Seasonal",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
1,ar,حفلات وهدايا وموسمي,تصفح حفلات وهدايا وموسمي,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
2,en,Accessories,Browse Accessories,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
2,ar,إكسسوارات,تصفح إكسسوارات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
3,en,Keychains,Browse Keychains,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
3,ar,ميداليات,تصفح ميداليات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
4,en,Watches,Browse Watches,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
4,ar,ساعات,تصفح ساعات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
5,en,Badges,Browse Badges,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
5,ar,بدجات,تصفح بدجات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
6,en,Frames,Browse Frames,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
6,ar,براويز,تصفح براويز,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
7,en,Party Supplies,Browse Party Supplies,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
7,ar,مستلزمات حفلات,تصفح مستلزمات حفلات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
8,en,Balloons,Browse Balloons,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
8,ar,بالونات,تصفح بالونات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
9,en,Posters,Browse Posters,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
9,ar,بوسترات,تصفح بوسترات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
10,en,Seasonal Collections,Browse Seasonal Collections,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
10,ar,موسميات,تصفح موسميات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
11,en,Ramadan Lanterns,Browse Ramadan Lanterns,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
11,ar,فوانيس رمضان,تصفح فوانيس رمضان,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
12,en,Stationery Gifts,Browse Stationery Gifts,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
