id,sku_prefix,localized_slug,localized_name,localized_description,localized_long_description,category_id,brand_id,media_set,is_active,rating,reviews_count,created_at,updated_at
13,KEYCH,{},{},{},{},3,1,{},t,4.80,5,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
14,KEYCH,{},{},{},{},3,3,{},t,4.70,6,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
15,KEYCH,{},{},{},{},3,5,{},t,4.60,7,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
16,KEYCH,{},{},{},{},3,7,{},t,4.50,8,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
17,KEYCH,{},{},{},{},3,9,{},t,4.40,9,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
18,KEYCH,{},{},{},{},3,1,{},t,4.30,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
19,KEYCH,{},{},{},{},3,3,{},t,4.20,11,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
20,KEYCH,{},{},{},{},3,5,{},t,4.10,12,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
21,WATCH,{},{},{},{},4,9,{},t,4.40,177,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
22,WATCH,{},{},{},{},4,1,{},t,4.50,176,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
23,WATCH,{},{},{},{},4,3,{},t,4.60,175,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
24,WATCH,{},{},{},{},4,5,{},t,4.70,174,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
25,WATCH,{},{},{},{},4,7,{},t,4.80,173,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
26,WATCH,{},{},{},{},4,9,{},t,4.90,172,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
27,BADGE,{},{},{},{},5,5,{},t,4.50,28,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
28,BADGE,{},{},{},{},5,7,{},t,4.60,27,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
29,BADGE,{},{},{},{},5,9,{},t,4.70,26,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
30,BADGE,{},{},{},{},5,1,{},t,4.80,25,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
31,BADGE,{},{},{},{},5,3,{},t,4.90,24,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
32,BADGE,{},{},{},{},5,5,{},t,3.80,23,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
33,FRAME,{},{},{},{},6,1,{},t,4.30,172,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
34,FRAME,{},{},{},{},6,3,{},t,4.40,173,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
35,FRAME,{},{},{},{},6,5,{},t,4.50,174,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
36,BALLO,{},{},{},{},8,4,{},t,4.70,40,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
37,BALLO,{},{},{},{},8,6,{},t,4.60,39,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
38,BALLO,{},{},{},{},8,8,{},t,4.50,38,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
39,BALLO,{},{},{},{},8,10,{},t,4.40,37,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
40,BALLO,{},{},{},{},8,2,{},t,4.30,36,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
41,BALLO,{},{},{},{},8,4,{},t,4.20,35,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
42,BALLO,{},{},{},{},8,6,{},t,4.10,34,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
43,BALLO,{},{},{},{},8,8,{},t,4.00,33,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
44,POSTE,{},{},{},{},9,2,{},t,4.30,42,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
45,POSTE,{},{},{},{},9,4,{},t,4.20,43,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
46,POSTE,{},{},{},{},9,6,{},t,4.10,44,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
47,POSTE,{},{},{},{},9,8,{},t,4.00,45,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
48,POSTE,{},{},{},{},9,10,{},t,3.90,46,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
49,POSTE,{},{},{},{},9,2,{},t,3.80,47,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
50,RAMAD,{},{},{},{},11,8,{},t,4.50,116,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
51,RAMAD,{},{},{},{},11,10,{},t,4.60,115,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
52,RAMAD,{},{},{},{},11,2,{},t,4.70,114,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
53,RAMAD,{},{},{},{},11,4,{},t,4.80,113,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
54,RAMAD,{},{},{},{},11,6,{},t,4.90,112,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
55,RAMAD,{},{},{},{},11,8,{},t,3.80,111,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
56,RAMAD,{},{},{},{},11,10,{},t,3.90,110,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
57,RAMAD,{},{},{},{},11,2,{},t,4.00,109,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
58,CERTI,{},{},{},{},13,6,{},t,4.10,90,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
59,CERTI,{},{},{},{},13,8,{},t,4.20,91,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
60,CERTI,{},{},{},{},13,10,{},t,4.30,92,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
61,CERTI,{},{},{},{},13,2,{},t,4.40,93,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
62,WATER,{},{},{},{},16,10,{},t,4.60,63,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
63,WATER,{},{},{},{},16,2,{},t,4.70,64,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
64,WATER,{},{},{},{},16,4,{},t,4.80,65,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
65,WATER,{},{},{},{},16,6,{},t,4.90,66,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
66,WATER,{},{},{},{},16,8,{},t,3.80,67,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
67,WATER,{},{},{},{},16,10,{},t,3.90,68,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
68,WATER,{},{},{},{},16,2,{},t,4.00,69,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
69,WATER,{},{},{},{},16,4,{},t,4.10,70,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
70,WATER,{},{},{},{},16,6,{},t,4.20,71,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
71,WATER,{},{},{},{},16,8,{},t,4.30,72,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
72,LUNCH,{},{},{},{},17,10,{},t,4.00,33,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
73,LUNCH,{},{},{},{},17,2,{},t,4.10,34,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
74,LUNCH,{},{},{},{},17,4,{},t,4.20,35,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
75,LUNCH,{},{},{},{},17,6,{},t,4.30,36,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
76,LUNCH,{},{},{},{},17,8,{},t,4.40,37,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
77,LUNCH,{},{},{},{},17,10,{},t,4.50,38,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
78,LUNCH,{},{},{},{},17,2,{},t,4.60,39,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
79,LUNCH,{},{},{},{},17,4,{},t,4.70,40,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
80,RULER,{},{},{},{},19,8,{},t,3.80,95,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
81,RULER,{},{},{},{},19,10,{},t,4.90,94,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
82,RULER,{},{},{},{},19,2,{},t,4.80,93,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
83,RULER,{},{},{},{},19,4,{},t,4.70,92,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
84,RULER,{},{},{},{},19,6,{},t,4.60,91,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
85,RULER,{},{},{},{},19,8,{},t,4.50,90,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
86,MATHS,{},{},{},{},20,4,{},t,4.50,64,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
87,MATHS,{},{},{},{},20,6,{},t,4.60,63,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
88,MATHS,{},{},{},{},20,8,{},t,4.70,62,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
89,MATHS,{},{},{},{},20,10,{},t,4.80,61,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
90,SETSQ,{},{},{},{},21,8,{},t,4.20,119,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
91,SETSQ,{},{},{},{},21,10,{},t,4.30,118,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
92,SETSQ,{},{},{},{},21,2,{},t,4.40,117,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
93,COMPA,{},{},{},{},22,1,{},t,4.10,108,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
94,COMPA,{},{},{},{},22,3,{},t,4.00,109,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
95,COMPA,{},{},{},{},22,5,{},t,3.90,110,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
96,PROTR,{},{},{},{},23,4,{},t,4.80,9,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
97,PROTR,{},{},{},{},23,6,{},t,4.90,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
98,PROTR,{},{},{},{},23,8,{},t,3.80,11,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
99,ERASE,{},{},{},{},26,7,{},t,4.60,159,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
100,ERASE,{},{},{},{},26,9,{},t,4.50,160,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
101,ERASE,{},{},{},{},26,1,{},t,4.40,161,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
102,ERASE,{},{},{},{},26,3,{},t,4.30,162,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
103,ERASE,{},{},{},{},26,5,{},t,4.20,163,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
104,ERASE,{},{},{},{},26,7,{},t,4.10,164,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
105,ERASE,{},{},{},{},26,9,{},t,4.00,165,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
106,ERASE,{},{},{},{},26,1,{},t,3.90,166,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
107,SHARP,{},{},{},{},27,5,{},t,4.00,145,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
108,SHARP,{},{},{},{},27,7,{},t,4.10,144,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
109,SHARP,{},{},{},{},27,9,{},t,4.20,143,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
110,SHARP,{},{},{},{},27,1,{},t,4.30,142,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
111,SHARP,{},{},{},{},27,3,{},t,4.40,141,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
112,SHARP,{},{},{},{},27,5,{},t,4.50,140,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
113,SHARP,{},{},{},{},27,7,{},t,4.60,139,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
114,SHARP,{},{},{},{},27,9,{},t,4.70,138,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
115,WHITE,{},{},{},{},29,3,{},t,4.20,175,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
116,WHITE,{},{},{},{},29,5,{},t,4.10,174,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
117,WHITE,{},{},{},{},29,7,{},t,4.00,173,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
118,WHITE,{},{},{},{},29,9,{},t,3.90,172,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
119,WHITE,{},{},{},{},29,1,{},t,3.80,171,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
120,WHITE,{},{},{},{},29,3,{},t,4.90,170,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
121,PERMA,{},{},{},{},30,9,{},t,4.90,40,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
122,PERMA,{},{},{},{},30,1,{},t,3.80,39,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
123,PERMA,{},{},{},{},30,3,{},t,3.90,38,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
124,HIGHL,{},{},{},{},31,2,{},t,4.70,154,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
125,HIGHL,{},{},{},{},31,4,{},t,4.80,153,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
126,HIGHL,{},{},{},{},31,6,{},t,4.90,152,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
